Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR29397975,miRNA-Seq,11,91768181,PRJNA1123679,SAMN41818062,91793016,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",Control,SRX24911810,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326836,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326836,Serum exosome,SRP513741,Serum exosome
SRR29397976,miRNA-Seq,13,9691322,PRJNA1123679,SAMN41818063,9766196,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Control,SRX24911809,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326835,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326835,Serum exosome,SRP513741,Serum exosome
SRR29397977,miRNA-Seq,11,181953007,PRJNA1123679,SAMN41818080,175845380,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",PD,SRX24911808,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326818,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326818,Serum exosome,SRP513741,Serum exosome
SRR29397978,miRNA-Seq,15,296149879,PRJNA1123679,SAMN41818081,268527081,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",PD,SRX24911807,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326817,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:49:00Z,1,GSM8326817,Serum exosome,SRP513741,Serum exosome
SRR29397979,miRNA-Seq,16,387667486,PRJNA1123679,SAMN41818082,342320231,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",PD,SRX24911806,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326816,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:49:00Z,1,GSM8326816,Serum exosome,SRP513741,Serum exosome
SRR29397980,miRNA-Seq,12,281558639,PRJNA1123679,SAMN41818083,270383324,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",PD,SRX24911805,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326815,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:49:00Z,1,GSM8326815,Serum exosome,SRP513741,Serum exosome
SRR29397981,miRNA-Seq,16,610286957,PRJNA1123679,SAMN41818084,548141320,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",PD,SRX24911804,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326814,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:50:00Z,1,GSM8326814,Serum exosome,SRP513741,Serum exosome
SRR29397982,miRNA-Seq,14,686635971,PRJNA1123679,SAMN41818085,640190947,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",PD,SRX24911803,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326813,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:50:00Z,1,GSM8326813,Serum exosome,SRP513741,Serum exosome
SRR29397983,miRNA-Seq,17,727354332,PRJNA1123679,SAMN41818086,653473761,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",PD,SRX24911802,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326812,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:51:00Z,1,GSM8326812,Serum exosome,SRP513741,Serum exosome
SRR29397984,miRNA-Seq,18,724210407,PRJNA1123679,SAMN41818087,644054420,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",PD,SRX24911801,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326811,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:50:00Z,1,GSM8326811,Serum exosome,SRP513741,Serum exosome
SRR29397985,miRNA-Seq,19,997707111,PRJNA1123679,SAMN41818088,852037927,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",PD,SRX24911800,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326810,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:52:00Z,1,GSM8326810,Serum exosome,SRP513741,Serum exosome
SRR29397986,miRNA-Seq,20,1367984976,PRJNA1123679,SAMN41818089,1127675104,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",PD,SRX24911799,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326809,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:53:00Z,1,GSM8326809,Serum exosome,SRP513741,Serum exosome
SRR29397987,miRNA-Seq,17,709914990,PRJNA1123679,SAMN41818090,632677914,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",PD,SRX24911798,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326808,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:49:00Z,1,GSM8326808,Serum exosome,SRP513741,Serum exosome
